"","pokemonId","freq"
"1","83",1
"2","89",5
"3","65",7
"4","6",8
"5","38",8
"6","26",10
"7","135",10
"8","3",12
"9","94",12
"10","137",14
"11","31",16
"12","45",16
"13","110",16
"14","34",17
"15","136",18
"16","71",19
"17","76",20
"18","113",22
"19","5",23
"20","149",24
"21","40",25
"22","51",25
"23","53",29
"24","103",29
"25","105",29
"26","59",32
"27","101",34
"28","115",34
"29","142",34
"30","67",38
"31","82",40
"32","107",40
"33","78",41
"34","112",43
"35","108",46
"36","148",47
"37","28",56
"38","106",56
"39","57",60
"40","36",64
"41","143",73
"42","12",95
"43","2",100
"44","64",107
"45","125",130
"46","88",138
"47","93",145
"48","24",146
"49","75",158
"50","15",199
"51","126",202
"52","70",204
"53","30",205
"54","95",205
"55","47",227
"56","44",229
"57","49",251
"58","33",272
"59","85",302
"60","123",307
"61","97",318
"62","114",337
"63","122",345
"64","22",393
"65","18",446
"66","25",516
"67","84",551
"68","66",564
"69","37",568
"70","147",593
"71","11",596
"72","109",604
"73","128",670
"74","50",721
"75","4",738
"76","124",755
"77","104",930
"78","42",1035
"79","100",1073
"80","81",1090
"81","39",1120
"82","111",1183
"83","77",1210
"84","20",1233
"85","63",1360
"86","1",1368
"87","127",1404
"88","58",1750
"89","52",1757
"90","102",1786
"91","14",1807
"92","56",1912
"93","27",2025
"94","92",2419
"95","74",2470
"96","17",3290
"97","69",3468
"98","35",3565
"99","43",3603
"100","29",3797
"101","32",4090
"102","23",4147
"103","46",7209
"104","48",8325
"105","10",9854
"106","41",10143
"107","96",10505
"108","133",11740
"109","21",12337
"110","13",27367
"111","19",39637
"112","16",52114
