"","pokemonId","freq"
"1","141",5
"2","139",7
"3","130",10
"4","62",12
"5","9",18
"6","131",20
"7","134",26
"8","87",28
"9","91",29
"10","121",58
"11","80",59
"12","117",84
"13","8",99
"14","55",131
"15","73",135
"16","119",152
"17","99",153
"18","138",247
"19","61",253
"20","140",262
"21","86",692
"22","72",1153
"23","90",1344
"24","7",1490
"25","79",1824
"26","116",2297
"27","120",3555
"28","118",3842
"29","60",3897
"30","54",3950
"31","98",4638
"32","129",7938
